Cand_Name,Cand_Office,Cand_Office_St,Cand_Party_Affiliation,Cand_Incumbent_Challenger_Open_Seat
"STRIDER, DAVID LEE",S,WA,MPA/IND,CHALLENGER
"JACKSON, CHARLIE RICHARD",S,WA,MPA/IND,CHALLENGER
"BUTLER, JON",S,WA,MPA/IND,CHALLENGER
"FERGUSON, JENNIFER MRS",S,WA,MPA/IND,CHALLENGER
"AMUNDSON, THOR",S,WA,MPA/IND,CHALLENGER
"LUKE, MIKE",S,WA,MPA/IND,CHALLENGER
"TSIMERMAN, ALEX",S,WA,MPA/IND,CHALLENGER
"HOFFMAN, STEVE",S,WA,MPA/IND,CHALLENGER
"WRIGHT, SAM",S,WA,MPA/IND,CHALLENGER
"CHASE, BRAD",S,WA,MPA/IND,CHALLENGER
"SWANK, KEITH R",S,WA,REP,CHALLENGER
"BRYANT, DAVID R",S,WA,REP,CHALLENGER
"GIBSON, JOSEPH",S,WA,REP,CHALLENGER
"STOCKWELL, GLEN (STOCKY) R.",S,WA,REP,CHALLENGER
"NELSON, MICHAEL GOODSPACEGUY",S,WA,REP,CHALLENGER
"HEINES, MATTHEW D",S,WA,REP,CHALLENGER
"ORLINSKI, JOHN",S,WA,REP,CHALLENGER
"OWEN, TIM",S,WA,REP,CHALLENGER
"SMITH, RC",S,WA,REP,CHALLENGER
"DE LA FUENTE, ROQUE 'ROCKY'",S,WA,REP,CHALLENGER
"HAWKINS, MATT C",S,WA,REP,
"CODAY, ARTHUR JR MD",S,WA,REP,CHALLENGER
"HUTCHISON, SUSAN",S,WA,REP,CHALLENGER
"WALTERS, MARY JO",S,WI,DEM,CHALLENGER
"BALDWIN, TAMMY",S,WI,DEM,INCUMBENT
"VUKMIR, LEAH",S,WI,REP,CHALLENGER
"BARMAN, CHARLES EDWARD",S,WI,REP,CHALLENGER
"JOHNSON, RONALD HAROLD",S,WI,REP,CHALLENGER
"SCHIESS, JOHN T",S,WI,REP,CHALLENGER
"LUCIA, GEORGE CAMPBELL",S,WI,REP,
"JONES, GRIFFIN GILBERT",S,WI,REP,CHALLENGER
"NICHOLSON, KEVIN",S,WI,REP,CHALLENGER
"SWEARENGIN, PAULA JEAN",S,WV,DEM,CHALLENGER
"MANCHIN III, JOE",S,WV,DEM,INCUMBENT
"BLANKENSHIP, DON",S,WV,MPA/IND,CHALLENGER
"COPLEY, JIMMY DALE II",S,WV,REP,CHALLENGER
"WILLIS, THOMAS EDWARD II",S,WV,REP,CHALLENGER
"NEWBROUGH, JACK",S,WV,REP,CHALLENGER
"JENKINS, EVAN H",S,WV,REP,CHALLENGER
"MORRISEY, PATRICK MR",S,WV,REP,CHALLENGER
"TRAUNER, GARY",S,WY,DEM,CHALLENGER
"BARRASSO, JOHN A",S,WY,REP,INCUMBENT
"HARDY, CHARLES E",S,WY,REP,CHALLENGER
"DODSON, DAVID",S,WY,REP,CHALLENGER
