state,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),PARTY,PRES PARTY,GENERAL %,GE WINNER INDICATOR,year
TN,S6TN00216,(I),Bob,Corker,R,O/D,64.89%,W,2012
TN,S8TN00279,,Mark E.,Clayton,D,O/D,30.41%,,2012
TN,S2TN00355,,Martin,Pleasant,GRE,O/D,1.66%,,2012
TN,S2TN00256,,Shaun E.,Crowell,IND,O/D,0.90%,,2012
TN,S2TN00363,,Kermit,Steck,CON,O/D,0.80%,,2012
TN,n/a,,Angelia,Stinnett,W,O/D,0.02%,,2012
TX,S2TX00312,,Ted,Cruz,R,O/D,56.46%,W,2012
TX,S2TX00429,,Paul,Sadler,D,O/D,40.62%,,2012
TX,S2TX00502,,John Jay,Myers,LIB,O/D,2.06%,,2012
TX,S2TX00486,,David B.,Collins,GRE,O/D,0.86%,,2012
UT,S6UT00063,(I),Orrin G.,Hatch,R,O/D,65.31%,W,2012
UT,S0UT00066,,Scott,Howell,D,O/D,29.98%,,2012
UT,S2UT00245,,Shaun Lynn,McCausland,CON,O/D,3.17%,,2012
UT,S2UT00260,,Daniel,Geery,UJP,O/D,0.83%,,2012
UT,S2UT00187,,Bill,Barron,UN,O/D,0.71%,,2012
UT,S2UT00278,,JoAnn S.,Secrist,W,O/D,0.00%,,2012
VA,S2VA00142,,Timothy M.,Kaine,D,O/D,52.87%,W,2012
VA,S8VA00214,,George F.,Allen,R,O/D,46.96%,,2012
VT,S4VT00033,(I),Bernie,Sanders,D,O/D,71.00%,W,2012
VT,S2VT00136,,John,MacGovern,R,O/D,24.90%,,2012
VT,S4VT00132,,Cris,Ericson,USM,O/D,2.02%,,2012
VT,S6VT00152,,Pete,Diamondstone,LU,O/D,0.86%,,2012
VT,S4VT00124,,Peter,Moss,PEP,O/D,0.84%,,2012
VT,S2VT00151,,Laurel,LaFramboise,VKS,O/D,0.30%,,2012
WA,S8WA00194,(I),Maria,Cantwell,D,O/D,60.45%,W,2012
WA,S2WA00288,,Michael,Baumgartner,R,O/D,39.55%,,2012
WA,S0WA00399,,Will,Baker,REF,O/D,0.00%,,2012
WI,S2WI00219,,Tammy,Baldwin,D,O/D,51.41%,W,2012
WI,S2WI00235,,Tommy G.,Thompson,R,O/D,45.86%,,2012
WI,S2WI00284,,Joseph,Kexel,LIB,O/D,2.07%,,2012
WI,S2WI00292,,"Allen Y.U., III",Nimrod,IDA,O/D,0.55%,,2012
WV,S0WV00090,(I),"Joe, III",Manchin,D,O/D,60.57%,W,2012
WV,S4WV00084,,John R.,Raese,R,O/D,36.47%,,2012
WV,S2WV00070,,Bob Henry,Baber,MTP,O/D,2.96%,,2012
WY,S6WY00068,(I),John,Barrasso,R,O/D,75.65%,W,2012
WY,S2WY00109,,Tim,Chesnut,D,O/D,21.65%,,2012
WY,S2WY00133,,Joel,Otto,COU,O/D,2.52%,,2012
AK,S4AK00099,(I),Lisa,Murkowski,R,D,40.04%,W,2010
AK,S0AK00139,,Scott T.,McAdams,D,D,23.32%,,2010
AK,S8AK00165,,"Fredrick ""David""",Haase,LIB,D,0.57%,,2010
AK,S0AK00154,,Tim,Carter,NAF,D,0.36%,,2010
AL,S6AL00013,(I),Richard C.,Shelby,R,D,65.18%,W,2010
AL,S0AL00164,,William G.,Barnes,D,D,34.71%,,2010
AR,S0AR00150,,John,Boozman,R,D,57.90%,W,2010
AR,S8AR00112,(I),Blanche Lambert,Lincoln,D,D,36.95%,,2010
AR,S0AR00135,,Trevor,Drown,IND,D,3.24%,,2010
AR,S0AR00184,,"John Laney, III",Gray,GRE,D,1.85%,,2010
AZ,S6AZ00019,(I),John,McCain,R,D,58.86%,W,2010
AZ,S0AZ00269,,Rodney,Glassman,D,D,34.65%,,2010
AZ,S0AZ00301,,David F.,Nolan,LIB,D,4.69%,,2010
AZ,S0AZ00285,,Jerry,Joslyn,GRE,D,1.44%,,2010
AZ,S0AZ00244,,Ian,Gilyeat,W,D,0.35%,,2010
CA,S2CA00286,(I),Barbara,Boxer,D,D,52.18%,W,2010
CA,S0CA00330,,Carly,Fiorina,R,D,42.17%,,2010
CA,S8CA00283,,Gail K.,Lightfoot,LIB,D,1.75%,,2010
CA,S4CA00357,,Marsha,Feinland,PAF,D,1.35%,,2010
CA,S0CA00397,,Duane,Roberts,GRE,D,1.29%,,2010
CA,S0CA00371,,Edward C.,Noonan,AIP,D,1.25%,,2010
CA,S0CA00405,,James E.,Harris,W,D,0.00%,,2010
CO,S0CO00211,(I),Michael F.,Bennet,D,D,48.08%,W,2010
CO,S0CO00237,,Ken,Buck,R,D,46.40%,,2010
CO,S8CO00222,,Bob,Kinsey,GRE,D,2.19%,,2010
CO,S0CO00328,,"Maclyn ""Mac""",Stringer,LIB,D,1.27%,,2010
CO,S0CO00344,,Jason,Napolitano,UN,D,1.09%,,2010
CO,S0CO00393,,Robert,Rank,W,D,0.00%,,2010
CT,S0CT00177,,Richard,Blumenthal,D,D,52.48%,W,2010
CT,S0CT00151,,Linda E.,McMahon,R,D,43.22%,,2010
CT,S6CT05082,,John,Mertens,CFL,D,0.58%,,2010
CT,S0CT00219,,Brian K.,Hill,W,D,0.05%,,2010
DE,S0DE00092,,Christopher A.,Coons,D,D,56.61%,W,2010
DE,S6DE00131,,Christine,O'Donnell,R,D,40.03%,,2010
DE,S0DE00134,,Glenn A.,Miller,IDE,D,2.67%,,2010
DE,S0DE00126,,"James W., Jr.",Rash,LIB,D,0.68%,,2010
DE,S0DE00159,,Maurice F.,Bourgeois,W,D,0.01%,,2010
FL,S0FL00338,,Marco,Rubio,R,D,48.89%,W,2010
FL,S6FL00160,,Charlie,Crist,NPA,D,29.71%,,2010
FL,S0FL00312,,Kendrick B.,Meek,D,D,20.20%,,2010
FL,S0FL00395,,Alexander Andrew,Snitker,LIB,D,0.46%,,2010
FL,S0FL00429,,Bernie,DeCastro,CPF,D,0.09%,,2010
FL,S4FL00272,,Piotr,Blass,W,D,0.00%,,2010
GA,S6GA00119,(I),Johnny,Isakson,R,D,58.31%,W,2010
GA,S0GA00310,,"Michael ""Mike""",Thurmond,D,D,39.00%,,2010
GA,S0GA00328,,Chuck,Donovan,LIB,D,2.69%,,2010
GA,S0GA00344,,Steve,Davis,W,D,0.00%,,2010
HI,S4HI00011,(I),Daniel K.,Inouye,D,D,74.81%,W,2010
HI,S4HI00102,,Cam,Cavasso,R,D,21.57%,,2010
HI,S4HI00128,,Jim,Brewer,GRE,D,2.09%,,2010
HI,S8HI00152,,Lloyd Jeffrey,Mallan,LIB,D,0.80%,,2010
HI,S0HI00175,,Jeff,Jarrett,N,D,0.73%,,2010
IA,S0IA00028,(I),Chuck,Grassley,R,D,64.35%,W,2010
IA,S0IA00127,,Roxanne,Conlin,D,D,33.30%,,2010
IA,S0IA00135,,John,Heiderscheit,LIB,D,2.27%,,2010
ID,S8ID00027,(I),Mike,Crapo,R,D,71.18%,W,2010
ID,S0ID11107,,P. Tom,Sullivan,D,D,24.93%,,2010
ID,S0ID00123,,Randy Lynn,Bergquist,CON,D,3.88%,,2010
ID,S0ID00131,,"Frederick R., Jr.",Reinisch,W,D,0.02%,,2010
IL,S0IL00261,,Mark Steven,Kirk,R,D,48.01%,W,2010
IL,S0IL00204,,"Alexander ""Alexi""",Giannoulias,D,D,46.42%,,2010
IL,S0IL00386,,LeAlan M.,Jones,GRE,D,3.65%,,2010
IL,S0IL00428,,Mike,Labno,LIB,D,2.70%,,2010
IL,S0IL00212,,Robert,Zadek,W,D,0.02%,,2010
IN,S0IN00053,,Dan,Coats,R,D,54.58%,W,2010
IN,S0IN00152,,Brad,Ellsworth,D,D,40.00%,,2010
IN,S8IN00080,,Rebecca,Sink-Burris,LIB,D,5.41%,,2010
IN,S0IN00178,,Jim,Miller,W,D,0.01%,,2010
KS,S0KS00091,,Jerry ,Moran,R,D,70.09%,W,2010
KS,S0KS00141,,Lisa ,Johnston,D,D,26.38%,,2010
KS,S0KS00182,,Michael Wm. ,Dann,LIB,D,2.14%,,2010
KS,S0KS00133,,Joseph (Joe) K. ,Bellis,REF,D,1.39%,,2010
KY,S0KY00156,,Rand,Paul,R,D,55.73%,W,2010
KY,S0KY00123,,Jack,Conway,D,D,44.25%,,2010
KY,S0KY00255,,Billy Ray,Wilson,W,D,0.02%,,2010
LA,S4LA00057,(I),David,Vitter,R,D,56.55%,W,2010
LA,S0LA00154,,"""Charlie""",Melancon,D,D,37.67%,,2010
LA,S0LA00246,,Randall Todd,Hayes,LIB,D,1.10%,,2010
LA,S0LA00253,,Michael Karlton,Brown,NPA,D,0.79%,,2010
LA,S0LA00196,,"Michael Lane ""Mike""",Spears,OTH,D,0.73%,,2010
LA,S0LA00287,,William R.,McShan,REF,D,0.46%,,2010
MD,S6MD00140,(I),Barbara A.,Mikulski,D,D,62.19%,W,2010
MD,S0MD00259,,Eric,Wargotz,R,D,35.75%,,2010
MD,S0MD00440,,Kenniss,Henry,GRE,D,1.13%,,2010
MD,S6MD03417,,Richard,Shawver,CON,D,0.80%,,2010
MO,S0MO00183,,Roy,Blunt,R,D,54.23%,W,2010
MO,S6MO00297,,Robin,Carnahan,D,D,40.63%,,2010
MO,S0MO00340,,Jonathan,Dine,LIB,D,3.02%,,2010
MO,S0MO00241,,Jerry,Beck,CON,D,2.13%,,2010
MO,S0MO00407,,Dale M.,Hoinoski,W,D,0.00%,,2010
NC,S4NC00089,(I),Richard,Burr,R,D,54.81%,W,2010
NC,S2NC00075,,Elaine,Marshall,D,D,43.05%,,2010
NC,S0NC00160,,Michael,Beitler,LIB,D,2.09%,,2010
ND,S0ND00093,,John,Hoeven,R,D,76.08%,W,2010
ND,S0ND00101,,Tracy,Potter,D,D,22.17%,,2010
ND,S0ND00119,,Keith J.,Hanson,LIB,D,1.63%,,2010
NH,S0NH00235,,Kelly,Ayotte,R,D,60.03%,W,2010
NH,S0NH00235,,Paul W.,Hodes,D,D,36.81%,,2010
NH,S0NH00292,,Chris,Booth,IND,D,2.02%,,2010
NH,S2NH00157,,Ken,Blevens,LIB,D,1.04%,,2010
NV,S6NV00028,(I),Harry,Reid,D,D,50.29%,W,2010
NV,S0NV00138,,Sharron,Angle,R,D,44.55%,,2010
NV,n/a,,,None of These Candidates,n/a,D,2.25%,,2010
NV,S0NV00393,,Scott,Ashjian,TPN,D,0.81%,,2010
NV,S0NV00369,,Michael L.,Haines,IND,D,0.59%,,2010
NV,S0NV00286,,Tim,Fasano,IAP,D,0.44%,,2010
NY,S8NY00082,(I),Charles E.,Schumer,D,D,58.45%,W,2010
NY,S0NY00287,,Joseph J.,DioGuardi,R,D,29.68%,,2010
NY,S0NY00550,,Jay,Townsend,CRV,D,5.24%,,2010
NY,S0NY00410,(I),Kirsten E.,Gillibrand,WF,D,4.05%,,2010
NY,S0NY00626,,Colia,Clark,GRE,D,0.92%,,2010
NY,S0NY00444,,Randy A.,Credico,APP/LIB,D,0.54%,,2010
NY,S0NY00311,,John,Clifton,LIB,D,0.41%,,2010
NY,S0NY00436,,Joseph,Huff,RDH,D,0.38%,,2010
NY,S0NY00634,,Vivia,Morgan,APP,D,0.26%,,2010
NY,S0NY00477,,Bruce,Blakeman,TRP,D,0.10%,,2010
OH,S0OH00133,,Rob,Portman,R,D,56.85%,W,2010
OH,S0OH00158,,Lee,Fisher,D,D,39.40%,,2010
OH,S0OH00190,,Eric W.,Deaton,CON,D,1.73%,,2010
OH,S0OH00265,,Michael L.,Pryce,IND,D,1.31%,,2010
OH,S0OH00257,,Daniel H.,LaBotz,SUS,D,0.69%,,2010
OH,S0OH00273,,Arthur T.,Sullivan,W,D,0.02%,,2010
OK,S4OK00174,(I),Tom,Coburn,R,D,70.64%,W,2010
OK,S2OK00095,,Jim,Rogers,D,D,26.13%,,2010
OK,S8OK00225,,Stephen P.,Wallace,IND,D,2.46%,,2010
OR,S6OR00110,(I),Ron,Wyden,D,D,57.22%,W,2010
OR,S0OR00220,,Jim,Huffman,R,D,39.25%,,2010
OR,S0OR00303,,Bruce,Cronk,WF,D,1.31%,,2010
OR,S0OR00220,,Marc,Delphine,LIB,D,1.11%,,2010
OR,S0OR00212,,Rick,Staggenborg,PRO,D,1.00%,,2010
PA,S4PA00121,,Pat,Toomey,R,D,51.01%,W,2010
PA,S0PA00434,,Joe,Sestak,D,D,48.99%,,2010
SC,S4SC00083,(I),Jim,DeMint,R,D,61.48%,W,2010
SC,S0SC00198,,Alvin M.,Greene,D,D,27.65%,,2010
SC,S0SC00214,,Tom,Clements,GRE,D,9.21%,,2010
SD,S2SD00068,(I),John R.,Thune,R,D,100.00%,W,2010
UT,S0UT00165,,Mike,Lee,R,D,61.56%,W,2010
UT,S0UT00140,,Sam F.,Granato,D,D,32.77%,,2010
UT,S6UT00188,,Scott N.,Bradley,CON,D,5.67%,,2010
UT,S0UT00223,,Brian E.,Kamerath,W,D,0.00%,,2010
VT,S4VT00017,(I),Patrick,Leahy,D,D,64.33%,W,2010
VT,S0VT00114,,Len,Britton,R,D,30.91%,,2010
VT,S4VT00132,,Cris,Ericson,USM,D,1.16%,,2010
VT,S0VT00130,,Stephen J.,Cain,IND,D,1.00%,,2010
VT,S6VT00152,,Pete,Diamondstone,SUS,D,0.61%,,2010
WA,S2WA00189,(I),Patty,Murray,D,D,52.36%,W,2010
WA,S0WA00357,,Dino,Rossi,R,D,47.64%,,2010
WA,S0WA00399,,Will,Baker,REF,D,,,2010
WA,S0WA00290,,James (Skip),Mercer,NOP,D,,,2010
WA,S4WA00474,,Mohammad H.,Said,CEN,D,,,2010
WI,S0WI00197,,Ron,Johnson,R,D,51.86%,W,2010
WI,S8WI00026,(I),Russ,Feingold,D,D,47.02%,,2010
WI,S0WI00155,,Rob,Taylor,CPW,D,1.08%,,2010
WV,S0WV00090,,"Joe, III",Manchin,D,D,53.47%,W,2010
WV,S4WV00084,,John Reeves,Raese,R,D,43.40%,,2010
WV,S6WV00139,,"Jesse Clarence, Jr.",Johnson,MTP,D,1.92%,,2010
WV,S0WV00207,,Jeffrey Conrad,Becker,CON,D,1.21%,,2010
AK,S8AK00090,,Mark,Begich,D,O,47.77%,W,2008
AK,S2AK00010,(I),Ted,Stevens,R,O,46.52%,,2008
AK,S0AK00105,,Bob,Bird,AKI,O,4.15%,,2008
AK,S8AK00165,,"Fredrick D. ""David""",Haase,LBT,O,0.78%,,2008
AK,S4AK00115,,Ted,Gianoutsos,NNE,O,0.44%,,2008
AL,S6AL00195,(I),Jeff,Sessions,R,O,63.36%,W,2008
AL,S8AL00282,,Vivian Davis,Figures,D,O,36.52%,,2008
AR,S0AR00028,(I),Mark,Pryor,D,O,79.53%,W,2008
AR,S8AR00179,,Rebekah,Kennedy,GRE,O,20.47%,,2008
CO,S8CO00172,,Mark,Udall,D,O,52.80%,W,2008
CO,S4CO00171,,Bob,Schaffer,R,O,42.49%,,2008
CO,S2CO00142,,"Douglas ""Dayhorse""",Campbell,AMC,O,2.56%,,2008
CO,S8CO00222,,Bob,Kinsey,GRE,O,2.14%,,2008
CO,S8CO00248,,Buddy,Moore,W,O,0.00%,,2008
DE,S8DE00012,(I),"Joseph R., Jr.",Biden,D,O,64.69%,W,2008
DE,S6DE00131,,Christine,O'Donnell,R,O,35.31%,,2008
GA,S2GA00118,(I),Saxby,Chambliss,R,O,49.76%,W,2008
GA,S8GA00164,,Jim,Martin,D,O,46.83%,,2008
GA,S4GA11103,,Allen,Buckley,LBT,O,3.41%,,2008
GA,S2GA00142,,Eleanor,Garcia,W,O,0.00%,,2008
IA,S4IA00020,(I),Tom,Harkin,D,O,62.66%,W,2008
IA,S8IA00104,,Christopher,Reed,R,O,37.26%,,2008
ID,S8ID00092,,Jim,Risch,R,O,57.65%,W,2008
ID,S8ID00076,,Larry,LaRocco,D,O,34.11%,,2008
ID,S8ID00100,,Rex,Rammell,I,O,5.35%,,2008
ID,S8ID00209,,Kent A.,Marmon,LBT,O,1.54%,,2008
IL,S6IL00151,(I),Richard J.,Durbin,D,O,67.84%,W,2008
IL,S8IL00165,,Steve,Sauerberg,R,O,28.53%,,2008
IL,S8IL00199,,Kathy,Cummings,GRE,O,2.24%,,2008
IL,S8IL00181,,Larry A.,Stafford,LBT,O,0.94%,,2008
IL,S2IL00044,,Chad N.,Koppie,CPI,O,0.45%,,2008
IL,n/a,,Patricia Elaine,Beard,W,O,0.00%,,2008
KS,S6KS00080,(I),Pat ,Roberts,R ,O,60.06%,W,2008
KS,S8KS00235,,Jim ,Slattery,D,O,36.46%,,2008
KS,S8KS00243,,Randall L.,Hodgkinson,LBT,O,2.12%,,2008
KS,S8KS00250,,Joseph L.,Martin,REF,O,1.36%,,2008
KY,S2KY00012,(I),Mitch,McConnell,R,O,52.97%,W,2008
KY,S8KY00233,,Bruce,Lunsford,D,O,47.03%,,2008
LA,S6LA00227,(I),Mary,Landrieu,D,O,52.11%,W,2008
LA,S4LA00065,,John,Kennedy,R,O,45.72%,,2008
LA,S4LA00081,,Richard,Fontanesi,LBT,O,0.98%,,2008
LA,S8LA00090,,"""Jay""",Patel,NPA,O,0.72%,,2008
LA,S8LA00082,,Robert,Stewart,OTH,O,0.46%,,2008
MA,S4MA00069,(I),John F.,Kerry,D,O,65.84%,W,2008
MA,S8MA00219,,Jeffrey K.,Beatty,R,O,30.92%,,2008
MA,S8MA00235,,Robert J.,Underwood,LBT,O,3.13%,,2008
ME,S6ME00159,(I),Susan M.,Collins,R,O,61.33%,W,2008
ME,S8ME00080,,Thomas H.,Allen,D,O,38.58%,,2008
ME,n/a,,,Others,W,O,0.09%,,2008
MI,S8MI00158,(I),Carl,Levin,D,O,62.66%,W,2008
MI,S8MI00299,,"Jack, Jr.",Hoogendyk,R,O,33.85%,,2008
MI,S8MI00315,,Scotty,Boman,LBT,O,1.57%,,2008
MI,S8MI00331,,Harley G.,Mikkelson,GRE,O,0.90%,,2008
MI,S8MI00307,,Michael N.,Nikitin,UST,O,0.64%,,2008
MI,S2MI00144,,Doug,Dern,NLP,O,0.38%,,2008
MN,S8MN00438,,Al,Franken,D,O,41.99%,W,2008
MN,S2MN00126,(I),Norm,Coleman,R,O,41.98%,,2008
MN,S4MN00262,,Dean,Barkley,IDP,O,15.15%,,2008
MN,S8MN00545,,Charles,Aldrich,LBT,O,0.48%,,2008
MN,S8MN00511,,James,Niemackl,CON,O,0.31%,,2008
MS,S8MS00055,(I),Thad,Cochran,R,O,61.44%,W,2008
MS,S8MS00196,(I),Roger,Wicker,N,O,54.96%,,2008
MS,S6MS00059,,Erik R.,Fleming,D,O,38.56%,,2008
MT,S8MT00010,(I),Max,Baucus,D,O,72.92%,W,2008
MT,S6MT00212,,Bob,Kelleher,R,O,27.08%,,2008
NC,S8NC00239,,Kay,Hagan,D,O,52.65%,W,2008
NC,S2NC00083,(I),Elizabeth,Dole,R,O,44.18%,,2008
NC,S8NC00296,,Christopher,Cole,LBT,O,3.12%,,2008
NE,S8NE00117,,Mike,Johanns,R,O,57.52%,W,2008
NE,S8NE00133,,Scott,Kleeb,D,O,40.06%,,2008
NE,S8NE00174,,Kelly Renee,Rosberg,NB,O,1.44%,,2008
NE,S8NE00166,,Steven R.,Larrick,GRE,O,0.98%,,2008
NH,S0NH00219,,Jeanne,Shaheen,D,O,51.59%,W,2008
NH,S0NH00201,(I),John E.,Sununu,R,O,45.25%,,2008
NH,S2NH00157,,"""Ken""",Blevens,LBT,O,3.10%,,2008
NJ,S2NJ00080,(I),Frank,Lautenberg,D,O,56.03%,W,2008
NJ,S6NJ00131,,Dick,Zimmer,R,O,41.95%,,2008
NJ,S8NJ00434,,Jason,Scheurer,LBT,O,0.54%,,2008
NJ,S8NJ00145,,J. M.,Carter,GWT,O,0.46%,,2008
NJ,S6NJ00313,,Daryl Mikell,Brooks,PPC,O,0.46%,,2008
NJ,S8NJ00418,,Jeffrey,Boss,BFS,O,0.30%,,2008
NJ,S8NJ00426,,Sara J.,Lobman,SWP,O,0.26%,,2008
NM,S8NM00184,,Tom,Udall,D,O,61.33%,W,2008
NM,S0NM00041,,Stevan E.,Pearce,R,O,38.67%,,2008
OK,S4OK00083,(I),Jim,Inhofe,R,O,56.68%,W,2008
OK,S8OK00233,,Andrew,Rice,D,O,39.18%,,2008
OK,S8OK00225,,Stephen P.,Wallace,I,O,4.14%,,2008
OR,S8OR00207,,Jeff,Merkley,D,O,48.90%,W,2008
OR,S6OR00094,(I),Gordon H.,Smith,R,O,45.55%,,2008
OR,S4OR00149,,David,Brownlow,CON,O,5.24%,,2008
RI,S6RI00163,(I),John F.,Reed,D,O,73.07%,W,2008
RI,S2RI00063,,Robert G.,Tingle,R,O,26.47%,,2008
RI,,,,The Jockey,W,O,0.18%,,2008
SC,S0SC00149,(I),Lindsey,Graham,R,O,57.52%,W,2008
SC,S8SC00126,,Bob,Conley,D,O,42.25%,,2008
SD,S6SD00051,(I),Tim,Johnson,D,O,62.49%,W,2008
SD,S8SD00107,,Joel,Dykstra,R,O,37.51%,,2008
TN,S2TN00058,(I),Lamar,Alexander,R,O,65.14%,W,2008
TN,S8TN00238,,Robert D.,Tuke,D,O,31.64%,,2008
TN,S8TN00295,,Edward L.,Buck,I,O,1.30%,,2008
TX,S2TX00106,(I),John,Cornyn,R,O,54.82%,W,2008
TX,S8TX00202,,Richard J. (Rick),Noriega,D,O,42.84%,,2008
TX,S8TX00251,,Yvonne Adams,Schick,LBT,O,2.34%,,2008
VA,S6VA00093,,Mark R.,Warner,D,O,65.03%,W,2008
VA,S8VA00255,,Jim,Gilmore,R,O,33.73%,,2008
VA,S6VA00135,,Glenda Gail,Parker,IGR,O,0.60%,,2008
VA,S8VA00271,,William B.,Redpath,LBT,O,0.56%,,2008
WV,S4WV00027,(I),Jay,Rockefeller,D,O,63.73%,W,2008
WV,S8WV00093,,Jay,Wolfe,R,O,36.26%,,2008
WV,n/a,,"John R. ""Rick""",Bartlett,W,O,0.01%,,2008
WY,S6WY00126,(I),Mike,Enzi,R,O,75.63%,W,2008
WY,S8WY00155,,Nick,Carter,D,O,26.53%,,2008
AZ,S4AZ00030,(I),Jon,Kyl,R,R,53.34%,W,2006
AZ,S6AZ00142,,Jim,Pederson,D,R,43.50%,,2006
AZ,S6AZ00175,,Richard,Mack,LBT,R,3.16%,,2006
AZ,S6AZ00183,,Stephen the Penny Man,Baker,W,R,0.00%,,2006
CA,S0CA00199,(I),Dianne,Feinstein,D,R,59.43%,W,2006
CA,S6CA00501,,"Richard ""Dick""",Mountjoy,R,R,35.02%,,2006
CA,S6CA00485,,Todd,Chretien,GRE,R,1.72%,,2006
CA,S6CA00550,,Michael S.,Metti,LBT,R,1.57%,,2006
CA,S4CA00357,,Marsha,Feinland,PAF,R,1.38%,,2006
CA,S4CA00332,,Don J.,Grundmann,AIP,R,0.88%,,2006
CA,,,Jeffrey,Mackler,W,R,0.00%,,2006
CT,S8CT00022,(I),Joseph,Lieberman,D,R,49.71%,W,2006
CT,S6CT05074,,Alan,Schlesinger,R,R,9.62%,,2006
CT,S6CT05041,,Ralph A.,Ferrucci,GRE,R,0.52%,,2006
CT,S4CT00153,,Timothy A.,Knibbs,CNC,R,0.41%,,2006
CT,,,Carl E.,Vassar,W,R,0.01%,,2006
DE,S8DE00079,(I),Thomas R.,Carper,D,R,67.13%,W,2006
DE,S6DE00123,,Jan,Ting,R,R,27.44%,,2006
DE,S6DE00149,,William E.,Morris,LBT,R,1.05%,,2006
FL,S8FL00166,(I),Bill,Nelson,D,R,60.30%,W,2006
FL,S6FL00178,,Katherine,Harris,R,R,38.10%,,2006
FL,S6FL00194,,Belinda,Noah,IND,R,0.52%,,2006
FL,S6FL00251,,Lawrence,Scott,W,R,0.00%,,2006
HI,S0HI00084,(I),Daniel K.,Akaka,D,R,61.35%,W,2006
HI,S6HI00255,,Cynthia,Thielen,R,R,36.78%,,2006
HI,S8HI00152,,Lloyd Jeffrey,Mallan,LBT,R,1.87%,,2006
IN,S4IN00014,(I),Richard G.,Lugar,R,R,87.36%,W,2006
IN,S6IN00142,,Steve,Osborn,LBT,R,12.59%,,2006
IN,S6IN00167,,Mark,Pool,W,R,0.03%,,2006
MA,S6MA00015,(I),Edward M.,Kennedy,D,R,69.30%,W,2006
MA,S6MA00221,,Kenneth G.,Chase,R,R,30.55%,,2006
MD,S6MD03177,,Benjamin L.,Cardin,D,R,54.21%,W,2006
MD,S6MD03201,,Michael S.,Steele,R,R,44.20%,,2006
MD,S6MD03243,,Kevin,Zeese,GRE,R,1.55%,,2006
ME,S4ME00055,(I),Olympia J.,Snowe,R,R,74.01%,W,2006
ME,S6ME00225,,Jean M.,Hay Bright,D,R,20.59%,,2006
ME,S6ME00266,,William H.,Slavick,IND,R,5.37%,,2006
ME,S6ME00274,,Michael A.,Beardsley,W,R,0.03%,,2006
MI,S8MI00281,(I),Debbie,Stabenow,D,R,56.91%,W,2006
MI,S6MI00335,,Michael,Bouchard,R,R,41.26%,,2006
MI,S6MI00343,,Leonard,Schwartz,LBT,R,0.71%,,2006
MI,S6MI00376,,Sole,David,GRE,R,0.63%,,2006
MI,S6MI00368,,W. Dennis,FitzSimons,UST,R,0.49%,,2006
MI,S6MI00350,,Brett,McAtee,W,R,0.00%,,2006
MN,S6MN00267,,Amy,Klobuchar,D,R,58.06%,W,2006
MN,S6MN00275,,Mark,Kennedy,R,R,37.94%,,2006
MN,S6MN00283,,Robert,Fitzgerald,IDP,R,3.23%,,2006
MN,S6MN00408,,Michael James,Cavlan,GRE,R,0.49%,,2006
MN,S6MN00390,,Ben,Powers,CON,R,0.25%,,2006
MO,S6MO00305,,Claire,McCaskill,D,R,49.58%,W,2006
MO,S2MO00353,(I),Jim,Talent,R,R,47.31%,,2006
MO,S6MO00347,,Frank,Gilmour,LBT,R,2.25%,,2006
MO,S6MO00354,,Lydia,Lewis,PRO,R,0.86%,,2006
MO,,,Don,Barrett,W,R,0.00%,,2006
MS,S8MS00162,(I),Trent,Lott,R,R,63.58%,W,2006
MS,S6MS00059,,Erik R.,Fleming,D,R,34.87%,,2006
MS,S6MS00091,,Harold M.,Taylor,LBT,R,1.56%,,2006
MT,S6MT00162,,Jon,Tester,D,R,49.16%,W,2006
MT,S8MT00119,(I),Conrad,Burns,R,R,48.29%,,2006
MT,S2MT00088,,Stan,Jones,LBT,R,2.55%,,2006
ND,S6ND00058,(I),Kent,Conrad,D,R,68.83%,W,2006
ND,S6ND00074,,Dwight,Grotberg,R,R,29.53%,,2006
ND,S6ND00090,,Roland,Riemers,IND,R,1.01%,,2006
NE,S6NE00095,(I),Ben,Nelson,D,R,63.88%,W,2006
NE,S6NE00129,,Pete,Ricketts,R,R,36.12%,,2006
NJ,S6NJ00289,(I),Robert,Menendez,D,R,53.37%,W,2006
NJ,S6NJ00271,,Thomas H. Jr.,Kean,R,R,44.34%,,2006
NJ,S6NJ00321,,Len,Flynn,LBT,R,0.65%,,2006
NJ,S65NJ00339,,Edward,Forchion,LMP,R,0.52%,,2006
NJ,S8NJ00145,,J.M.,Carter,GWT,R,0.35%,,2006
NJ,S6NJ00081,,N. Leonard,Smith,SDF,R,0.28%,,2006
NJ,S6NJ00313,,Daryl Mikell,Brooks,PPC,R,0.23%,,2006
NJ,S6NJ00347,,Angela L.,Lariscy,SWP,R,0.15%,,2006
NJ,S0NJ00100,,Gregory,Pason,SUS,R,0.11%,,2006
NM,S2NM00021,(I),Jeff,Bingaman,D,R,70.61%,W,2006
NM,S6NM01111,,"Allen W., MD",McCulloch,R,R,29.33%,,2006
NM,S8NM00051,,Orlin G.,Cole,W,R,0.06%,,2006
NV,S8NV00073,(I),John,Ensign,R,R,55.36%,W,2006
NV,S6NV00150,,Jack,Carter,D,R,40.99%,,2006
NV,,,,None of These Candidates,,R,1.41%,,2006
NV,S4NV00221,,David K.,Schumann,IAP,R,1.33%,,2006
